,composition,pretty_composition,parent_guess,materials_project_id,tc,debyet,elecspecheat,unit_elecspecheat,neelt,a1,a2,b1,b2,c1,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,i1,i2,o1,o2,o_empirical,lata,latb,latc,unit_lat
32683,Zr1Ru1As1,ZrAsRu,ZrAsRu,mp-8221,11.9,,,,,Zr,1.0,Ru,1.0,1.0,,,,,,,,,,,,,,,,6.586,,,A
32684,Hf1Ru1As1,HfAsRu,HfAsRu,mp-1079079,4.93,,,,,Hf,1.0,Ru,1.0,1.0,,,,,,,,,,,,,,,,6.568,,,A
32685,Zr1Os1As1,ZrAsOs,ZrAsOs,mp-1079816,8.0,,,,,Zr,1.0,Os,1.0,1.0,,,,,,,,,,,,,,,,6.602,,,A
32686,Hf1Os1As1,HfAsOs,HfAsOs,mp-1079823,3.2,,,,,Hf,1.0,Os,1.0,1.0,,,,,,,,,,,,,,,,6.569,,,A
32689,Lu1Ru1B2,LuB2Ru,LuB2Ru,mp-29239,9.99,,,,,Lu,1.0,Ru,1.0,2.0,,,,,,,,,,,,,,,,5.809,5.229,5.229,A
32690,Sc1Os1B2,ScB2Os,ScB2Os,mp-1189073,1.34,,,,,Sc,1.0,Os,1.0,2.0,,,,,,,,,,,,,,,,5.647,5.178,5.178,A
32692,Lu1Os1B2,LuB2Os,LuB2Os,mp-1189270,2.66,,,,,Lu,1.0,Os,1.0,2.0,,,,,,,,,,,,,,,,5.809,5.231,5.231,A
32693,Y1B2C2,Y(BC)2,Y(BC)2,mp-1078866,3.6,,,,,Y,1.0,B,2.0,2.0,,,,,,,,,,,,,,,,3.78,,,A
32696,Lu1B2C2,Lu(BC)2,Lu(BC)2,mp-1095068,2.4,,,,,Lu,1.0,B,2.0,2.0,,,,,,,,,,,,,,,,3.762,,,A
32697,Y2Rh3Si5,Y2Si5Rh3,Y2Si5Rh3,mp-9882,2.7,,,,,Y,2.0,Rh,3.0,5.0,,,,,,,,,,,,,,,,9.78,11.69,11.69,A
32698,Sc2Fe3Si5,Sc2Fe3Si5,Sc2Fe3Si5,mp-21588,4.5,,,,,Sc,2.0,Fe,3.0,5.0,,,,,,,,,,,,,,,,,,,
32699,Y2Fe3Si5,Y2Fe3Si5,Y2Fe3Si5,mp-1197725,2.4,,,,,Y,2.0,Fe,3.0,5.0,,,,,,,,,,,,,,,,,,,
32700,Lu2Fe3Si5,Lu2Fe3Si5,Lu2Fe3Si5,mp-541557,6.0,,,,,Lu,2.0,Fe,3.0,5.0,,,,,,,,,,,,,,,,,,,
32711,Y1Ru4B4,Y(BRu)4,Y(BRu)4,mp-10138,1.4,,,,,Y,1.0,Ru,4.0,4.0,,,,,,,,,,,,,,,,,,,
32712,Y1Ru1B4,YB4Ru,YB4Ru,mp-1190832,1.38,,,,,Y,1.0,Ru,1.0,4.0,,,,,,,,,,,,,,,,,,,
32715,Y1Os1B4,YB4Os,YB4Os,mp-980205,1.4,,,,,Y,1.0,Os,1.0,4.0,,,,,,,,,,,,,,,,,,,
32724,Sc5Co4Si10,Sc5(Co2Si5)2,Sc5(Co2Si5)2,mp-542493,4.53,580.0,,,,Sc,5.0,Co,4.0,10.0,,,,,,,,,,,,,,,,12.01,,,A
32725,Sc5Rh4Si10,Sc5(Si5Rh2)2,Sc5(Si5Rh2)2,mp-1196760,8.27,450.0,,,,Sc,5.0,Rh,4.0,10.0,,,,,,,,,,,,,,,,12.325,,,A
32726,Sc5Ir4Si10,Sc5(Si5Ir2)2,Sc5(Si5Ir2)2,mp-1195748,8.29,400.0,,,,Sc,5.0,Ir,4.0,10.0,,,,,,,,,,,,,,,,12.316,,,A
32727,Y5Ir4Si10,Y5(Si5Ir2)2,Y5(Si5Ir2)2,mp-1202645,3.1,370.0,,,,Y,5.0,Ir,4.0,10.0,,,,,,,,,,,,,,,,12.599,,,A
32729,Lu5Ir4Si10,Lu5(Si5Ir2)2,Lu5(Si5Ir2)2,mp-542170,3.91,330.0,,,,Lu,5.0,Ir,4.0,10.0,,,,,,,,,,,,,,,,12.475,,,A
32730,Y5Rh4Ge10,Y5(Ge5Rh2)2,Y5(Ge5Rh2)2,mp-1198948,1.35,340.0,,,,Y,5.0,Rh,4.0,10.0,,,,,,,,,,,,,,,,12.953,,,A
32731,Y5Ir4Ge10,Y5(Ge5Ir2)2,Y5(Ge5Ir2)2,mp-1196414,2.76,320.0,,,,Y,5.0,Ir,4.0,10.0,,,,,,,,,,,,,,,,12.927,,,A
32732,Y5Os4Ge10,Y5(Ge5Os2)2,Y5(Ge5Os2)2,mp-1195689,9.06,320.0,,,,Y,5.0,Os,4.0,10.0,,,,,,,,,,,,,,,,13.006,,,A
